,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
358,magdagachi,53.45,125.8,-10.02,91,97,3.81,RU,1604770585
359,parabel,58.7,81.48,3.27,78,100,5.56,RU,1604770585
360,khor,47.89,134.95,-3.18,98,85,1.78,RU,1604770362
361,buarcos,40.17,-8.88,16.11,93,40,4.1,PT,1604770586
362,kangaatsiaq,68.31,-53.46,-9.08,84,85,3.3,GL,1604770586
363,muyezerskiy,63.93,31.65,4.92,68,91,7.38,RU,1604770586
364,bayir,37.27,28.22,20.0,32,0,3.6,TR,1604770586
365,mayo,38.89,-76.51,23.33,82,1,3.6,US,1604770586
366,maicao,11.38,-72.24,30.84,63,52,1.17,CO,1604770586
367,avera,33.19,-82.53,24.0,73,75,5.1,US,1604770586
368,mana,5.66,-53.78,30.09,71,39,5.19,GF,1604770587
369,tianpeng,30.99,103.94,18.33,1,72,0.84,CN,1604770587
370,shimoda,34.67,138.95,17.22,91,94,0.89,JP,1604770378
371,kalmunai,7.42,81.82,26.89,82,10,1.91,LK,1604770334
372,inyonga,-6.72,32.07,27.34,29,45,0.98,TZ,1604770587
373,kathmandu,27.72,85.32,13.0,93,20,1.0,NP,1604770550
374,bethel,41.37,-73.41,21.67,40,1,2.1,US,1604770314
375,mandiana,10.63,-8.68,30.17,31,0,1.31,GN,1604770588
376,san quintin,30.48,-115.95,18.26,49,74,8.0,MX,1604770588
377,tanout,14.97,8.89,26.07,17,0,4.88,NE,1604770588
378,hermosillo,29.07,-110.97,30.0,58,5,5.7,MX,1604770524
379,perene,-10.95,-75.23,33.22,32,15,2.65,PE,1604770588
380,moindou,-21.69,165.68,20.0,88,75,2.65,NC,1604770588
381,port lincoln,-34.73,135.87,14.77,78,0,7.47,AU,1604770331
382,nizwa,22.93,57.53,23.17,58,62,3.58,OM,1604770588
383,ahipara,-35.17,173.17,16.42,86,73,5.36,NZ,1604770306
